OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
148,009804,11001009804,2473,2435,42,2369,5,4,0,15,32,13,4,2,56,14,2361,5,4,0,3,30,12,1,1,1778,28,1706,4,4,0,13,19,7,2,1,39,11,1700,4,4,0,2,18,7,0,1,1071,955,116,128.074350890000005,0.200116170000000,3761.594319299104882,518298.512527794053312,32581400.000000000000000,27829.000000000000000,34316210.000000000000000,27427.500000000000000,33095951,27152.500000000000000,34012746.000000000000000,27000.000000000000000,37891027.000000000000000,28276.500000000000000,40708270.000000000000000,29122.000000000000000
149,009807,11001009807,3072,3022,56,2937,4,13,0,12,48,24,3,0,58,38,2912,3,13,0,1,46,24,3,0,2396,46,2304,4,12,0,11,18,12,1,0,42,36,2283,3,12,0,1,18,12,1,0,1551,1350,201,256.626769659999979,0.400979330000000,5057.760632472155521,1038531.697104936698452,49300774.859999999403954,31540.430000000000291,50089141.000000000000000,29196.000000000000000,50160528,29574.500000000000000,51025204.000000000000000,29638.000000000000000,52225202.000000000000000,28837.000000000000000,55085531.000000000000000,30509.000000000000000
150,009810,11001009810,2507,2483,15,2456,3,1,0,8,23,12,8,0,22,15,2439,3,1,0,6,21,12,6,0,1734,13,1692,3,1,0,6,18,11,8,0,17,13,1680,3,1,0,4,16,11,6,0,1171,1103,68,101.916767149999998,0.159244950000000,2811.707455614742685,412442.526136786327697,20731641.000000000000000,22114.000000000000000,23630871.000000000000000,20845.000000000000000,22087145,21242.000000000000000,22667655.000000000000000,21012.500000000000000,23590181.039999999105930,22107.000000000000000,25212674.000000000000000,21337.000000000000000
151,010500,11001010500,3410,3296,1101,1888,15,231,2,59,63,33,43,10,212,1000,1858,13,228,2,10,49,26,35,4,2946,1074,1501,14,211,2,50,47,28,38,10,190,977,1477,13,208,2,10,35,20,30,4,2347,2000,347,185.973146060000005,0.290583040000000,3700.255221996985256,752606.625014814897440,84029289.000000000000000,45706.500000000000000,112250955.000000000000000,52096.000000000000000,98303018,48448.000000000000000,105746983.000000000000000,51276.500000000000000,106072495.000000000000000,52567.000000000000000,124766159.000000000000000,56785.000000000000000
152,010600,11001010600,3933,3814,1624,1992,15,126,0,57,70,44,38,3,177,1548,1969,3,123,0,10,63,39,35,2,3397,1503,1622,14,117,0,47,52,37,33,2,141,1442,1603,3,115,0,10,48,33,30,2,1927,1670,257,305.564174879999996,0.477444030000000,5269.162516465638873,1236574.350912801688537,121226133.000000000000000,46770.000000000000000,256230114.000000000000000,55071.500000000000000,161447062,51645.000000000000000,209503581.000000000000000,53822.000000000000000,231914897.580000013113022,55353.000000000000000,313701867.000000000000000,58798.500000000000000
153,010700,11001010700,1838,1775,1442,89,6,209,0,29,12,7,40,7,137,1344,85,5,207,0,4,10,6,38,7,1821,1433,86,6,207,0,28,10,8,40,7,134,1336,83,5,205,0,4,8,6,39,7,1413,1244,169,220.293986859999990,0.344209360000000,3825.465073982897593,891498.140842398977838,76742725.000000000000000,55538.500000000000000,121704083.000000000000000,63057.000000000000000,65155219,58724.000000000000000,148356514.000000000000000,60245.000000000000000,131895201.000000000000000,71866.000000000000000,156457298.000000000000000,72231.000000000000000
154,010800,11001010800,6408,6194,5146,279,2,708,3,56,133,32,150,27,268,4946,277,2,706,2,6,129,29,149,27,6381,5132,270,2,706,3,56,131,32,148,27,265,4933,269,2,704,2,6,128,29,148,27,1115,1034,81,163.464638119999989,0.255413500000000,3482.465158007078116,661517.924546415568329,23332003.500000000000000,39566.000000000000000,35939787.000000000000000,42735.000000000000000,33571416,40108.000000000000000,44924794.000000000000000,39390.000000000000000,33640053.000000000000000,41873.000000000000000,38436301.000000000000000,47991.500000000000000
155,010900,11001010900,3211,3146,58,3055,6,15,0,12,61,22,9,0,47,49,3035,6,15,0,2,56,21,6,0,2356,56,2226,5,15,0,8,43,22,5,0,35,47,2211,5,15,0,1,41,21,4,0,1366,1161,205,1313.082863560000078,2.051691990000000,11812.014996961419456,5313857.851102002896369,21483928.000000000000000,21961.000000000000000,25597789.000000000000000,20753.500000000000000,23779752,21350.000000000000000,25906312.000000000000000,20502.000000000000000,27129325.000000000000000,20661.000000000000000,27893573.000000000000000,21980.000000000000000
156,011000,11001011000,3715,3584,1632,1712,29,140,3,68,90,49,40,3,183,1560,1683,24,139,3,13,77,40,36,3,3354,1593,1455,23,130,3,54,58,40,28,2,158,1524,1429,20,130,3,11,48,32,25,2,2673,2345,328,254.122387919999994,0.397066230000000,5794.137105634688851,1028396.823751537944190,142255206.000000000000000,61476.000000000000000,159856545.000000000000000,66090.000000000000000,159085656,61805.000000000000000,167859350.000000000000000,64116.000000000000000,173116968.419999986886978,67450.000000000000000,184361322.000000000000000,70438.500000000000000
157,011100,11001011100,4859,4727,322,4192,24,15,1,173,110,58,19,3,337,241,4147,18,15,1,8,88,46,19,3,3945,279,3410,21,13,1,123,85,43,12,3,237,223,3379,15,13,1,5,70,37,12,3,1868,1727,141,1497.651270589999967,2.340080130000000,13673.107138748504440,6060779.698894323781133,101111776.000000000000000,40473.000000000000000,108672370.000000000000000,40625.500000000000000,99900451,40198.000000000000000,104974019.000000000000000,41009.000000000000000,115762533.000000000000000,41166.000000000000000,122414153.000000000000000,42315.000000000000000
158,009301,11001009301,3143,3031,979,1915,14,71,0,52,75,32,24,1,221,866,1891,13,67,0,3,56,30,23,1,2617,866,1555,13,66,0,39,50,31,18,1,175,768,1535,12,62,0,3,42,29,17,1,1230,1162,68,272.133073050000007,0.425207930000000,4589.378117573317468,1101283.480970723787323,80177844.519999995827675,46848.000000000000000,96067410.000000000000000,47415.000000000000000,89517062,46693.000000000000000,96422375.109999999403954,47221.000000000000000,116557623.000000000000000,54943.000000000000000,124565445.000000000000000,57282.500000000000000
159,007809,11001007809,2922,2875,58,2768,9,4,0,36,40,19,6,0,86,35,2753,5,4,0,1,38,16,6,0,2129,51,2011,8,3,0,26,24,17,1,0,65,33,2001,4,3,0,1,22,14,1,0,1339,1135,204,132.238954849999999,0.206623370000000,3874.359987355354406,535152.066889405599795,37559798.369999997317791,27390.000000000000000,41012846.000000000000000,24953.000000000000000,37380788,25825.500000000000000,39381158.000000000000000,25178.000000000000000,44647455.000000000000000,27046.000000000000000,48307774.000000000000000,28461.000000000000000
160,007901,11001007901,3822,3730,397,3252,16,24,0,41,85,32,21,3,115,349,3240,11,24,0,7,73,30,18,2,2771,362,2287,13,24,0,30,50,24,11,3,76,327,2280,9,24,0,6,47,23,9,2,1784,1540,244,98.415178229999995,0.153773720000000,2551.393622589773713,398272.098442659305874,54104963.000000000000000,29975.000000000000000,68844302.000000000000000,31673.000000000000000,60769648,29766.000000000000000,65914144.000000000000000,30020.500000000000000,76444757.000000000000000,34692.000000000000000,85297510.000000000000000,37573.000000000000000
161,007903,11001007903,1774,1749,156,1536,6,10,0,41,22,14,3,1,95,120,1518,6,9,0,4,22,12,3,1,1407,136,1205,5,10,0,31,17,11,2,1,70,112,1192,5,9,0,2,17,9,2,1,880,778,102,59.943898709999999,0.093662340000000,2170.945400465850526,242584.352928883075947,33231634.000000000000000,36257.000000000000000,41719677.000000000000000,39557.000000000000000,34946070,36732.000000000000000,38094648.000000000000000,36321.500000000000000,46326405.000000000000000,44633.000000000000000,53049430.000000000000000,47103.000000000000000
162,008001,11001008001,2784,2701,1321,1247,10,65,1,57,51,21,26,7,138,1264,1235,7,62,1,9,42,16,24,7,2397,1168,1058,10,58,1,40,39,19,16,4,111,1119,1049,7,55,1,5,32,14,14,4,1391,1286,105,80.430913950000004,0.125673300000000,2400.602905073041256,325492.362612917553633,100414811.000000000000000,60366.000000000000000,126560393.000000000000000,67249.000000000000000,113921738,63888.000000000000000,122354172.000000000000000,66117.500000000000000,130054316.000000000000000,70322.000000000000000,144770934.000000000000000,75309.500000000000000
163,008002,11001008002,3031,2946,1662,1158,6,74,3,43,43,14,31,3,114,1602,1152,4,73,3,8,40,13,30,0,2614,1450,1014,6,65,1,33,19,10,16,2,91,1400,1011,4,64,1,6,17,9,15,0,1644,1477,167,142.850635619999991,0.223204120000000,3883.368026989947339,578096.015633209841326,121769571.000000000000000,67000.500000000000000,162596832.000000000000000,72447.000000000000000,142225876,68264.000000000000000,160531068.000000000000000,70314.000000000000000,156077250.770000010728836,75659.500000000000000,173685028.000000000000000,80922.000000000000000
164,008100,11001008100,2910,2823,2276,422,11,75,1,38,33,19,47,1,133,2195,413,10,74,1,4,31,17,47,1,2551,2027,366,11,62,1,26,23,19,29,1,106,1957,361,10,61,1,2,21,17,29,1,1549,1452,97,72.218121789999998,0.112840820000000,2331.345984513608983,292256.371732736646663,139606334.000000000000000,81428.000000000000000,168364052.000000000000000,72100.000000000000000,166143944,77408.000000000000000,167686490.000000000000000,77394.000000000000000,173483443.000000000000000,85914.000000000000000,194119047.000000000000000,90338.000000000000000
165,008200,11001008200,2918,2843,2515,156,12,116,1,43,15,14,50,2,134,2443,152,9,113,1,2,11,11,45,2,2674,2328,146,12,106,1,37,12,11,23,2,119,2260,142,9,103,1,2,9,8,23,2,1655,1522,133,84.045240660000005,0.131320690000000,3038.867811690816325,340119.023976682976354,117647812.000000000000000,70126.500000000000000,147633111.000000000000000,67792.500000000000000,142848043,69117.500000000000000,155157942.000000000000000,70452.000000000000000,143780010.000000000000000,77086.000000000000000,159931869.000000000000000,78676.000000000000000
166,008301,11001008301,2279,2225,1743,383,5,67,1,26,21,7,31,1,80,1703,373,5,66,1,2,19,5,31,1,2039,1585,331,4,59,1,23,14,6,19,1,71,1546,324,4,58,1,1,14,5,19,1,1154,1072,82,75.106520560000007,0.117353940000000,2368.737542543226027,303945.306896788533777,100958815.000000000000000,79178.000000000000000,126739845.000000000000000,80765.000000000000000,117129497,71931.000000000000000,125316966.000000000000000,77114.500000000000000,137994779.000000000000000,83172.500000000000000,159487649.000000000000000,82900.000000000000000
167,008302,11001008302,2206,2141,1553,490,12,66,2,18,20,12,36,2,94,1487,487,10,64,2,9,18,8,31,2,1940,1367,448,11,60,2,9,15,12,18,2,62,1322,447,9,58,2,4,15,8,17,2,1032,966,66,64.461916680000002,0.100721750000000,2372.700178227709330,260868.123057570395758,98202439.000000000000000,75686.000000000000000,121676185.000000000000000,69139.000000000000000,115145078,72632.000000000000000,124644728.000000000000000,70932.000000000000000,122260480.000000000000000,77004.500000000000000,148237948.000000000000000,80862.000000000000000
168,008402,11001008402,2149,2081,1156,846,7,51,4,17,34,21,20,6,99,1095,830,5,49,4,5,32,20,19,4,1920,1036,756,6,49,4,14,24,18,17,5,76,990,741,4,49,4,5,24,17,17,3,1270,1174,96,66.307558029999996,0.103605560000000,2657.405650077083010,268337.168661050323863,64090679.000000000000000,50048.000000000000000,84827411.000000000000000,55894.500000000000000,76375227,50961.000000000000000,83894892.000000000000000,54722.000000000000000,78279904.000000000000000,59253.000000000000000,95344734.000000000000000,63150.000000000000000
169,008410,11001008410,1489,1463,451,958,4,24,3,23,16,10,3,1,71,421,942,4,22,3,4,16,8,3,1,1232,414,754,4,24,3,14,10,10,2,1,57,385,744,4,22,3,2,10,8,2,1,681,604,77,54.394449270000003,0.084991330000000,2326.095336849684827,220126.527661906438880,41390921.000000000000000,46940.000000000000000,54787972.000000000000000,48372.000000000000000,47944604,46774.000000000000000,51016505.000000000000000,48283.000000000000000,60603534.000000000000000,55593.000000000000000,71052704.000000000000000,58733.000000000000000
170,009400,11001009400,4163,4038,370,3467,23,42,0,136,94,50,20,1,266,301,3424,22,41,0,12,80,44,18,1,3397,314,2846,20,36,0,94,69,42,10,1,180,264,2820,20,35,0,10,58,37,8,1,1792,1651,141,393.024723479999977,0.614101130000000,5500.077285011368076,1590514.635816454654559,111394852.000000000000000,48688.000000000000000,122069723.000000000000000,49363.500000000000000,112928463,48019.000000000000000,119206939.000000000000000,49071.000000000000000,135842841.000000000000000,51938.500000000000000,139399116.000000000000000,52796.500000000000000
171,009501,11001009501,5797,5595,2128,2827,36,108,10,486,99,49,58,15,831,1926,2778,21,102,5,9,78,42,54,12,5099,2093,2351,27,105,8,347,73,43,55,12,636,1916,2311,19,99,3,9,59,36,51,9,1954,1802,152,393.940258690000007,0.615531660000000,6251.167007724287032,1594219.675380467670038,54810127.000000000000000,28094.000000000000000,66633719.979999996721745,28334.000000000000000,60953895,28147.000000000000000,64279289.000000000000000,27023.000000000000000,62507127.539999999105930,27422.500000000000000,71687637.000000000000000,29720.500000000000000
172,009503,11001009503,2910,2810,432,2301,4,41,0,32,84,50,22,4,113,377,2276,3,41,0,7,79,48,21,4,2433,384,1917,4,36,0,22,59,42,11,4,83,342,1898,3,36,0,6,56,40,10,4,1256,1200,56,351.748080249999987,0.549606380000000,5448.746348623635640,1423473.986090267309919,103688476.000000000000000,55760.000000000000000,93340693.299999997019768,55128.000000000000000,91164685,52882.000000000000000,103746641.000000000000000,55310.500000000000000,108517270.000000000000000,56626.500000000000000,113767916.010000005364418,60025.000000000000000
173,009504,11001009504,3025,2940,643,2204,10,40,0,43,66,27,24,5,120,592,2187,5,40,0,3,62,27,24,5,2603,579,1892,7,38,0,28,44,20,17,3,89,540,1876,4,38,0,2,40,20,17,3,1354,1254,100,253.590649579999990,0.396235390000000,4227.412190022429058,1026244.954988851328380,69274045.000000000000000,43233.000000000000000,76802968.000000000000000,44206.500000000000000,72545466,41582.000000000000000,78335079.000000000000000,43487.000000000000000,83501617.000000000000000,44864.500000000000000,92795105.000000000000000,48695.500000000000000
174,009505,11001009505,2630,2571,145,2274,3,25,6,118,49,19,14,4,201,109,2249,2,25,2,4,36,13,11,0,2197,113,1934,2,22,4,82,33,13,7,1,140,89,1913,1,22,2,2,26,12,6,0,1217,1138,79,254.668658349999987,0.397919780000000,4571.653132383325101,1030607.501727885799482,69676775.000000000000000,42972.000000000000000,74524698.000000000000000,41734.000000000000000,69233046,41221.000000000000000,72487872.000000000000000,42196.000000000000000,94197523.000000000000000,45732.000000000000000,105022944.000000000000000,46330.000000000000000
175,009507,11001009507,1489,1460,53,1304,11,1,0,91,22,10,4,4,156,16,1292,2,1,0,1,21,9,4,4,1209,38,1075,10,1,0,64,15,10,4,1,110,14,1067,2,1,0,1,14,9,4,1,607,583,24,72.812927279999997,0.113770200000000,2483.115055246346856,294663.464164052042179,35008824.000000000000000,38577.500000000000000,37021683.000000000000000,38410.000000000000000,34437488,36996.000000000000000,36555449.000000000000000,39274.000000000000000,39838674.000000000000000,38723.000000000000000,41834568.920000001788139,39851.000000000000000
176,009508,11001009508,3290,3240,257,2821,11,30,0,121,38,24,11,2,235,182,2793,6,29,0,3,36,22,11,1,2785,227,2394,7,27,0,90,30,22,7,2,171,170,2376,5,26,0,3,28,20,7,1,1742,1578,164,231.917986700000000,0.362371860000000,5772.875427557625699,938538.799502715701237,67315108.950000002980232,38902.000000000000000,74438513.799999997019768,36844.000000000000000,70488991,37979.000000000000000,74847040.000000000000000,37529.000000000000000,76756174.000000000000000,38133.500000000000000,82172651.000000000000000,38670.500000000000000
177,009509,11001009509,2940,2888,165,2592,5,33,0,93,48,7,14,3,169,124,2565,2,33,0,13,33,4,8,3,2400,142,2126,4,30,0,66,29,6,10,3,116,112,2114,2,30,0,5,20,4,7,3,1320,1258,62,159.553961950000001,0.249303070000000,3306.197043409586513,645691.979470196296461,75556930.000000000000000,44708.000000000000000,83396856.400000005960464,45890.000000000000000,78005645,45617.500000000000000,80688699.000000000000000,44771.000000000000000,90266682.000000000000000,48269.000000000000000,94453371.000000000000000,50505.000000000000000
178,009601,11001009601,2445,2420,27,2359,3,5,3,23,24,7,2,4,36,16,2357,3,5,3,0,24,7,2,4,1598,23,1534,3,2,2,18,15,6,2,4,27,16,1532,3,2,2,0,15,6,2,4,847,786,61,514.850170810000009,0.804453400000000,6716.549761568943723,2083524.732696912484244,27940966.000000000000000,24949.000000000000000,31190145.000000000000000,22438.000000000000000,29485769,24312.000000000000000,29883780.000000000000000,22301.000000000000000,33222152.000000000000000,25221.000000000000000,34565858.000000000000000,27655.000000000000000
179,009602,11001009602,3280,3220,24,3166,9,3,0,18,58,26,3,0,40,20,3156,6,3,0,1,52,26,3,0,2287,17,2206,5,3,0,13,41,20,2,0,25,15,2199,4,3,0,1,38,20,2,0,1545,1445,100,341.005598350000014,0.532821250000000,4742.071398204730031,1380000.703951826551929,28881426.000000000000000,24409.000000000000000,34651347.000000000000000,23135.500000000000000,29422702,23832.000000000000000,32067205.000000000000000,22962.500000000000000,41181793.000000000000000,23438.000000000000000,45174162.000000000000000,25037.000000000000000
